Nom;Pob
  03037-Benimantell ;501
  03038-Benimarfull ;433
  03039-Benimassot ;111
  03040-Benimeli ;416
  03041-Benissa ;11598
  03042-Benitachell/Poble Nou de Benitatxell, el ;4690
  03043-Biar ;3657
  03044-Bigastro ;6714
  03045-Bolulla ;426
  03046-Busot ;3075
  03049-Callosa de Segura ;18200
  03048-Callosa d'en Sarria ;7133
  03047-Calp ;21540
  03050-Campello, el ;27356
  03051-Campo de Mirra/Camp de Mirra, el ;445
  03052-Canada ;1229
  03053-Castalla ;9994
  03054-Castell de Castells ;431
  03075-Castell de Guadalest, el ;224
  03055-Catral ;8690
  03056-Cocentaina ;11406
  03057-Confrides ;208
  03058-Cox ;7229
  03059-Crevillent ;28465
  03061-Daya Nueva ;1732
  03062-Daya Vieja ;668
  03063-Denia ;41553
  03064-Dolores ;7246
  03065-Elche/Elx ;227312
  03066-Elda ;53248
  03067-Facheca ;103
  03068-Famorca ;52
  03069-Finestrat ;6239
  03077-Fondo de les Neus, el/Hondon de las Nieves ;2583
  03070-Formentera del Segura ;4206
  03072-Gaianes ;457
  03071-Gata de Gorgos ;5885
  03073-Gorga ;275
  03074-Granja de Rocamora ;2425
  03076-Guardamar del Segura ;15589
  03078-Hondon de los Frailes ;1160
  03079-Ibi ;23321
  03080-Jacarilla ;1930
  03082-Javea/Xabia ;27681
  03083-Jijona/Xixona ;7205
  03085-Lliber ;1099
  03084-Lorcha/Orxa, l' ;650
  03086-Millena ;224
  03088-Monforte del Cid ;7603
  03089-Monovar/Monover ;12381
  03903-Montesinos, Los ;4921
  03091-Murla ;516
  03092-Muro de Alcoy ;9167
  03090-Mutxamel ;24256
  03093-Novelda ;26146
  03094-Nucia, la ;20039
  03095-Ondara ;6617
  03096-Onil ;7548
  03097-Orba ;2210
  03099-Orihuela ;82675
  03098-Orxeta ;850
  03100-Parcent ;997
  03101-Pedreguer ;7337
  03102-Pego ;10331
  03103-Penaguila ;353
  03104-Petrer ;34586
  03902-Pilar de la Horadada ;21629
  03105-Pinos, el/Pinoso ;7695
  03106-Planes ;753
  03901-Poblets, els ;3303
  03107-Polop ;4369
  03060-Quatretondeta ;111
  03109-Rafal ;4167
  03110-Rafol d'Almunia, el ;635
  03111-Redovan ;7706
  03112-Relleu ;1279
  03113-Rojales ;18127
  03114-Romana, la ;2431
  03115-Sagra ;410
  03116-Salinas ;1597
  03118-San Fulgencio ;9021
  03904-San Isidro ;1874
  03120-San Miguel de Salinas ;6773
  03122-San Vicente del Raspeig/Sant Vicent del Raspeig ;56302
  03117-Sanet y Negrals ;674
  03119-Sant Joan d'Alacant ;22825
  03121-Santa Pola ;31657
  03123-Sax ;9696
  03124-Sella ;588
  03125-Senija ;610
  03127-Tarbena ;661
  03128-Teulada ;11460
  03129-Tibi ;1656
  03130-Tollos ;52
  03131-Tormos ;312
  03132-Torremanzanas/Torre de les Macanes, la ;746
  03133-Torrevieja ;88447
  03134-Vall d'Alcala, la ;169
  03136-Vall de Gallinera ;609
  03137-Vall de Laguar, la ;826
  03135-Vall d'Ebo, la ;249
  03138-Verger, el ;4627
  03139-Villajoyosa/Vila Joiosa, la ;33878
  03140-Villena ;34361
  03081-Xalo ;2675
  04001-Abla ;1342
  04002-Abrucena ;1279
  04003-Adra ;24670
  04004-Albanchez ;805
  04005-Alboloduy ;653
  04006-Albox ;11429
  04007-Alcolea ;812
  04008-Alcontar ;570
  04009-Alcudia de Monteagud ;168
  04010-Alhabia ;700
  04011-Alhama de Almeria ;3763
  04012-Alicun ;220
  04013-Almeria ;194203
  04014-Almocita ;173
  04015-Alsodux ;138
  04016-Antas ;3195
  04017-Arboleas ;4670
  04018-Armuna de Almanzora ;332
  04019-Bacares ;278
  04020-Bayarcal ;336
  04021-Bayarque ;216
  04022-Bedar ;990
  04023-Beires ;119
  04024-Benahadux ;4183
  04026-Benitagla ;78
  04027-Benizalon ;283
  04028-Bentarique ;258
  04029-Berja ;15174
  04030-Canjayar ;1342
  04031-Cantoria ;3580
  04032-Carboneras ;7838
  04033-Castro de Filabres ;147
  04036-Chercos ;275
  04037-Chirivel ;1604
  04034-Cobdar ;183
  04035-Cuevas del Almanzora ;13292
  04038-Dalias ;3979
  04902-Ejido, El ;85961
  04041-Enix ;437
  04043-Felix ;688
  04044-Fines ;2143
  04045-Finana ;2134
  04046-Fondon ;1020
  04047-Gador ;3027
  04048-Gallardos, Los ;2973
  04049-Garrucha ;8577
  04050-Gergal ;1093
  04051-Huecija ;515
  04052-Huercal de Almeria ;16823
  04053-Huercal-Overa ;18530
  04054-Illar ;380
  04055-Instincion ;458
  04056-Laroya ;178
  04057-Laujar de Andarax ;1574
  04058-Lijar ;431
  04059-Lubrin ;1568
  04060-Lucainena de las Torres ;606
  04061-Lucar ;772
  04062-Macael ;5676
  04063-Maria ;1285
  04064-Mojacar ;6825
  04903-Mojonera, La ;8963
  04065-Nacimiento ;501
  04066-Nijar ;28056
  04067-Ohanes ;669
  04068-Olula de Castro ;190
  04069-Olula del Rio ;6259
  04070-Oria ;2428
  04071-Padules ;464
  04072-Partaloa ;673
  04073-Paterna del Rio ;376
  04074-Pechina ;3860
  04075-Pulpi ;8762
  04076-Purchena ;1686
  04077-Ragol ;338
  04078-Rioja ;1374
  04079-Roquetas de Mar ;90623
  04080-Santa Cruz de Marchena ;254
  04081-Santa Fe de Mondujar ;448
  04082-Senes ;330
  04083-Seron ;2167
  04084-Sierro ;392
  04085-Somontin ;492
  04086-Sorbas ;2608
  04087-Sufli ;252
  04088-Tabernas ;3668
  04089-Taberno ;1000
  04090-Tahal ;396
  04091-Terque ;417
  04092-Tijola ;3701
  04901-Tres Villas, Las ;615
  04093-Turre ;3346
  04094-Turrillas ;242
  04095-Uleila del Campo ;897
  04096-Urracal ;336
  04097-Velefique ;268
  04098-Velez-Blanco ;2035
  04099-Velez-Rubio ;6767
  04100-Vera ;15108
  04101-Viator ;5698
  04102-Vicar ;24571
  04103-Zurgena ;3030
  05001-Adanero ;231
  05002-Adrada, La ;2640
  05005-Albornos ;205
  05007-Aldeanueva de Santa Cruz ;123
  05008-Aldeaseca ;262
  05010-Aldehuela, La ;173
  05012-Amavida ;147
  05013-Arenal, El ;1011
  05014-Arenas de San Pedro ;6671
  05015-Arevalillo ;92
  05016-Arevalo ;8172
  05017-Aveinte ;84
  05018-Avellaneda ;29
  05019-avila ;58358
  05021-Barco de avila, El ;2576
  05022-Barraco, El ;1968
  05023-Barroman ;196
  05024-Becedas ;236
  05025-Becedillas ;103
  05026-Bercial de Zapardiel ;221
  05027-Berlanas, Las ;330
  05029-Bernuy-Zapardiel ;131
  05030-Berrocalejo de Aragona ;51
  05033-Blascomillan ;197
  05034-Blasconuno de Matacabras ;15
  05035-Blascosancho ;117
  05036-Bohodon, El ;129
  05037-Bohoyo ;304
  05038-Bonilla de la Sierra ;129
  05039-Brabos ;49
  05040-Bularros ;69
  05041-Burgohondo ;1228
  05042-Cabezas de Alambre ;168
  05043-Cabezas del Pozo ;88
  05044-Cabezas del Villar ;261
  05045-Cabizuela ;98
  05046-Canales ;56
  05047-Candeleda ;5104
  05048-Cantiveros ;126
  05049-Cardenosa ;454
  05051-Carrera, La ;201
  05052-Casas del Puerto ;100
  05053-Casasola ;78
  05054-Casavieja ;1507
  05055-Casillas ;704
  05056-Castellanos de Zapardiel ;97
  05057-Cebreros ;3232
  05058-Cepeda la Mora ;85
  05067-Chamartin ;92
  05059-Cillan ;110
  05060-Cisla ;118
  05061-Colilla, La ;331
  05062-Collado de Contreras ;192
  05063-Collado del Miron ;35
  05064-Constanzana ;116
  05065-Crespos ;526
  05066-Cuevas del Valle ;516
  05903-Diego del Carpio ;161
  05069-Donjimeno ;82
  05070-Donvidas ;37
  05072-Espinosa de los Caballeros ;102
  05073-Flores de avila ;320
  05074-Fontiveros ;770
  05075-Fresnedilla ;131
  05076-Fresno, El ;601
  05077-Fuente el Sauz ;182
  05078-Fuentes de Ano ;126
  05079-Gallegos de Altamiros ;72
  05080-Gallegos de Sobrinos ;56
  05081-Garganta del Villar ;40
  05082-Gavilanes ;619
  05083-Gemuno ;169
  05085-Gil Garcia ;43
  05084-Gilbuena ;73
  05086-Gimialcon ;85
  05087-Gotarrendura ;164
  05088-Grandes y San Martin ;30
  05089-Guisando ;534
  05090-Gutierre-Munoz ;90
  05092-Hernansancho ;184
  05093-Herradon de Pinares ;549
  05094-Herreros de Suso ;145
  05095-Higuera de las Duenas ;302
  05096-Hija de Dios, La ;82
  05097-Horcajada, La ;525
  05099-Horcajo de las Torres ;556
  05100-Hornillo, El ;317
  05102-Hoyo de Pinares, El ;2308
  05101-Hoyocasero ;369
  05103-Hoyorredondo ;77
  05106-Hoyos de Miguel Munoz ;35
  05104-Hoyos del Collado ;33
  05105-Hoyos del Espino ;364
  05107-Hurtumpascual ;62
  05108-Junciana ;53
  05109-Langa ;520
  05110-Lanzahita ;905
  05113-Llanos de Tormes, Los ;82
  05112-Losar del Barco, El ;109
  05114-Madrigal de las Altas Torres ;1524
  05115-Maello ;647
  05116-Malpartida de Corneja ;123
  05117-Mamblas ;220
  05118-Mancera de Arriba ;88
  05119-Manjabalago y Ortigosa de Rioalmar ;34
  05120-Marlin ;37
  05121-Martiherrero ;307
  05122-Martinez ;139
  05123-Mediana de Voltoya ;106
  05124-Medinilla ;112
  05125-Mengamunoz ;63
  05126-Mesegar de Corneja ;75
  05127-Mijares ;767
  05128-Mingorria ;407
  05129-Miron, El ;134
  05130-Mironcillo ;101
  05131-Miruena de los Infanzones ;98
  05132-Mombeltran ;1171
  05133-Monsalupe ;72
  05134-Moraleja de Matacabras ;47
  05135-Munana ;435
  05136-Munico ;111
  05138-Munogalindo ;374
  05139-Munogrande ;63
  05140-Munomer del Peco ;131
  05141-Munopepe ;112
  05142-Munosancho ;104
  05143-Munotello ;64
  05144-Narrillos del alamo ;85
  05145-Narrillos del Rebollar ;56
  05149-Narros de Salduena ;110
  05147-Narros del Castillo ;180
  05148-Narros del Puerto ;27
  05152-Nava de Arevalo ;801
  05153-Nava del Barco ;108
  05151-Navacepedilla de Corneja ;109
  05154-Navadijos ;38
  05155-Navaescurial ;60
  05156-Navahondilla ;335
  05157-Navalacruz ;259
  05158-Navalmoral ;353
  05159-Navalonguilla ;264
  05160-Navalosa ;333
  05161-Navalperal de Pinares ;867
  05162-Navalperal de Tormes ;98
  05163-Navaluenga ;2017
  05164-Navaquesera ;26
  05165-Navarredonda de Gredos ;473
  05166-Navarredondilla ;217
  05167-Navarrevisca ;307
  05168-Navas del Marques, Las ;5420
  05169-Navatalgordo ;239
  05170-Navatejares ;54
  05171-Neila de San Miguel ;73
  05172-Niharra ;172
  05173-Ojos-Albos ;67
  05174-Orbita ;80
  05175-Oso, El ;176
  05176-Padiernos ;292
  05177-Pajares de Adaja ;191
  05178-Palacios de Goda ;418
  05179-Papatrigo ;253
  05180-Parral, El ;79
  05181-Pascualcobo ;39
  05182-Pedro Bernardo ;921
  05183-Pedro-Rodriguez ;158
  05184-Peguerinos ;312
  05185-Penalba de avila ;114
  05186-Piedrahita ;1884
  05187-Piedralaves ;2208
  05188-Poveda ;50
  05189-Poyales del Hoyo ;557
  05190-Pozanco ;53
  05191-Pradosegar ;139
  05192-Puerto Castilla ;116
  05193-Rasueros ;201
  05194-Riocabado ;150
  05195-Riofrio ;233
  05196-Rivilla de Barajas ;67
  05197-Salobral ;110
  05198-Salvadios ;80
  05199-San Bartolome de Bejar ;42
  05200-San Bartolome de Corneja ;54
  05201-San Bartolome de Pinares ;597
  05206-San Esteban de los Patos ;34
  05208-San Esteban de Zapardiel ;41
  05207-San Esteban del Valle ;800
  05209-San Garcia de Ingelmos ;82
  05901-San Juan de Gredos ;291
  05210-San Juan de la Encinilla ;90
  05211-San Juan de la Nava ;518
  05212-San Juan del Molinillo ;227
  05213-San Juan del Olmo ;112
  05214-San Lorenzo de Tormes ;42
  05215-San Martin de la Vega del Alberche ;181
  05216-San Martin del Pimpollar ;185
  05217-San Miguel de Corneja ;62
  05218-San Miguel de Serrezuela ;137
  05219-San Pascual ;43
  05220-San Pedro del Arroyo ;455
  05231-San Vicente de Arevalo ;190
  05204-Sanchidrian ;768
  05205-Sanchorreja ;91
  05222-Santa Cruz de Pinares ;157
  05221-Santa Cruz del Valle ;385
  05226-Santa Maria de los Caballeros ;79
  05224-Santa Maria del Arroyo ;114
  05225-Santa Maria del Berrocal ;391
  05902-Santa Maria del Cubillo ;337
  05227-Santa Maria del Tietar ;526
  05228-Santiago del Collado ;183
  05904-Santiago del Tormes ;146
  05229-Santo Domingo de las Posadas ;78
  05230-Santo Tome de Zabarcos ;71
  05232-Serrada, La ;110
  05233-Serranillos ;262
  05234-Sigeres ;53
  05235-Sinlabajos ;127
  05236-Solana de avila ;138
  05237-Solana de Rioalmar ;185
  05238-Solosancho ;905
  05239-Sotalbo ;218
  05240-Sotillo de la Adrada ;4652
  05241-Tiemblo, El ;4231
  05242-Tinosillos ;790
  05243-Tolbanos ;95
  05244-Tormellas ;55
  05245-Tornadizos de avila ;432
  05247-Torre, La ;273
  05246-Tortoles ;64
  05249-Umbrias ;117
  05251-Vadillo de la Sierra ;70
  05252-Valdecasa ;77
  05253-Vega de Santa Maria ;94
  05254-Velayos ;234
  05256-Villaflor ;126
  05257-Villafranca de la Sierra ;134
  05905-Villanueva de avila ;239
  05258-Villanueva de Gomez ;142
  05259-Villanueva del Aceral ;139
  05260-Villanueva del Campillo ;100
  05261-Villar de Corneja ;41
  05262-Villarejo del Valle ;380
  05263-Villatoro ;184
  05264-Vinegra de Morana ;49
  05265-Vita ;84
  05266-Zapardiel de la Canada ;104
  05267-Zapardiel de la Ribera ;111
  06001-Acedera ;816
  06002-Aceuchal ;5471
  06003-Ahillones ;960
  06004-Alange ;1914
  06005-Albuera, La ;2046
  06006-Alburquerque ;5486
  06007-Alconchel ;1790
  06008-Alconera ;747
  06009-Aljucen ;240
  06010-Almendral ;1296
  06011-Almendralejo ;34265
  06012-Arroyo de San Servan ;4175
  06013-Atalaya ;302
  06014-Azuaga ;8031
  06015-Badajoz ;149892
  06016-Barcarrota ;3634
  06017-Baterno ;318
  06018-Benquerencia de la Serena ;888
  06019-Berlanga ;2434
  06020-Bienvenida ;2218
  06021-Bodonal de la Sierra ;1081
  06022-Burguillos del Cerro ;3179
  06023-Cabeza del Buey ;5138
  06024-Cabeza la Vaca ;1391
  06025-Calamonte ;6330
  06026-Calera de Leon ;1014
  06027-Calzadilla de los Barros ;845
  06028-Campanario ;5150
  06029-Campillo de Llerena ;1414
  06030-Capilla ;191
  06031-Carmonita ;561
  06032-Carrascalejo, El ;71
  06033-Casas de Don Pedro ;1560
  06034-Casas de Reina ;199
  06035-Castilblanco ;1085
  06036-Castuera ;6163
  06042-Cheles ;1221
  06037-Codosera, La ;2197
  06038-Cordobilla de Lacara ;960
  06039-Coronada, La ;2195
  06040-Corte de Peleas ;1312
  06041-Cristina ;556
  06043-Don alvaro ;781
  06044-Don Benito ;36971
  06045-Entrin Bajo ;562
  06046-Esparragalejo ;1489
  06047-Esparragosa de la Serena ;1060
  06048-Esparragosa de Lares ;972
  06049-Feria ;1209
  06050-Fregenal de la Sierra ;4968
  06051-Fuenlabrada de los Montes ;1921
  06052-Fuente de Cantos ;4941
  06053-Fuente del Arco ;709
  06054-Fuente del Maestre ;6856
  06055-Fuentes de Leon ;2415
  06056-Garbayuela ;543
  06057-Garlitos ;630
  06058-Garrovilla, La ;2453
  06059-Granja de Torrehermosa ;2160
  06903-Guadiana del Caudillo ;2527
  06060-Guarena ;7151
  06061-Haba, La ;1286
  06062-Helechosa de los Montes ;716
  06063-Herrera del Duque ;3686
  06064-Higuera de la Serena ;969
  06065-Higuera de Llerena ;352
  06066-Higuera de Vargas ;2020
  06067-Higuera la Real ;2359
  06068-Hinojosa del Valle ;514
  06069-Hornachos ;3749
  06070-Jerez de los Caballeros ;9615
  06071-Lapa, La ;287
  06073-Llera ;888
  06074-Llerena ;5929
  06072-Lobon ;2837
  06075-Magacela ;552
  06076-Maguilla ;1007
  06077-Malcocinado ;395
  06078-Malpartida de la Serena ;599
  06079-Manchita ;760
  06080-Medellin ;2306
  06081-Medina de las Torres ;1280
  06082-Mengabril ;472
  06083-Merida ;58971
  06084-Mirandilla ;1349
  06085-Monesterio ;4306
  06086-Montemolin ;1455
  06087-Monterrubio de la Serena ;2490
  06088-Montijo ;15789
  06089-Morera, La ;736
  06090-Nava de Santiago, La ;1005
  06091-Navalvillar de Pela ;4671
  06092-Nogales ;700
  06093-Oliva de la Frontera ;5403
  06094-Oliva de Merida ;1798
  06095-Olivenza ;12090
  06096-Orellana de la Sierra ;245
  06097-Orellana la Vieja ;2836
  06098-Palomas ;697
  06099-Parra, La ;1383
  06100-Penalsordo ;1042
  06101-Peraleda del Zaucejo ;565
  06102-Puebla de Alcocer ;1240
  06103-Puebla de la Calzada ;5970
  06104-Puebla de la Reina ;789
  06107-Puebla de Obando ;1894
  06108-Puebla de Sancho Perez ;2793
  06105-Puebla del Maestre ;759
  06106-Puebla del Prior ;515
  06902-Pueblonuevo del Guadiana ;2046
  06109-Quintana de la Serena ;4818
  06110-Reina ;169
  06111-Rena ;655
  06112-Retamal de Llerena ;475
  06113-Ribera del Fresno ;3440
  06114-Risco ;158
  06115-Roca de la Sierra, La ;1515
  06116-Salvaleon ;1893
  06117-Salvatierra de los Barros ;1712
  06119-San Pedro de Merida ;877
  06123-San Vicente de Alcantara ;5689
  06118-Sancti-Spiritus ;227
  06120-Santa Amalia ;4149
  06121-Santa Marta ;4301
  06122-Santos de Maimona, Los ;8254
  06124-Segura de Leon ;2012
  06125-Siruela ;2017
  06126-Solana de los Barros ;2692
  06127-Talarrubias ;3576
  06128-Talavera la Real ;5484
  06129-Taliga ;721
  06130-Tamurejo ;225
  06131-Torre de Miguel Sesmero ;1261
  06132-Torremayor ;1049
  06133-Torremejia ;2259
  06134-Trasierra ;654
  06135-Trujillanos ;1442
  06136-Usagre ;1851
  06137-Valdecaballeros ;1135
  06901-Valdelacalzada ;2784
  06138-Valdetorres ;1246
  06139-Valencia de las Torres ;645
  06140-Valencia del Mombuey ;766
  06141-Valencia del Ventoso ;2084
  06146-Valle de la Serena ;1302
  06147-Valle de Matamoros ;391
  06148-Valle de Santa Ana ;1175
  06142-Valverde de Burguillos ;296
  06143-Valverde de Leganes ;4184
  06144-Valverde de Llerena ;645
  06145-Valverde de Merida ;1086
  06149-Villafranca de los Barros ;13289
  06150-Villagarcia de la Torre ;945
  06151-Villagonzalo ;1295
  06152-Villalba de los Barros ;1574
  06153-Villanueva de la Serena ;26021
  06154-Villanueva del Fresno ;3489
  06156-Villar de Rena ;1413
  06155-Villar del Rey ;2273
  06157-Villarta de los Montes ;516
  06158-Zafra ;16857
  06159-Zahinos ;2844
  06160-Zalamea de la Serena ;3786
  06162-Zarza, La ;3586
  06161-Zarza-Capilla ;359
  07002-Alaior ;8997
  07001-Alaro ;5275
  07003-Alcudia ;19763
  07004-Algaida ;5410
  07005-Andratx ;11093
  07901-Ariany ;871
  07006-Arta ;7381
  07007-Banyalbufar ;548
  07008-Binissalem ;7850
  07009-Buger ;1022
  07010-Bunyola ;6706
  07011-Calvia ;50328
  07012-Campanet ;2524
  07013-Campos ;9892
  07014-Capdepera ;11420
  07064-Castell, Es ;7635
  07015-Ciutadella de Menorca ;29098
  07016-Consell ;3862
  07017-Costitx ;1205
  07018-Deia ;713
  07026-Eivissa ;49975
  07019-Escorca ;236
  07020-Esporles ;4922
  07021-Estellencs ;336
  07022-Felanitx ;17412
  07023-Ferreries ;4571
  07024-Formentera ;11878
  07025-Fornalutx ;703
  07027-Inca ;30651
  07028-Lloret de Vistalegre ;1233
  07029-Lloseta ;5639
  07030-Llubi ;2176
  07031-Llucmajor ;34618
  07033-Manacor ;40170
  07034-Mancor de la Vall ;1321
  07032-Mao-Mahon ;28006
  07035-Maria de la Salut ;2113
  07036-Marratxi ;35726
  07037-Mercadal, Es ;5091
  07902-Migjorn Gran, Es ;1429
  07038-Montuiri ;2850
  07039-Muro ;6723
  07040-Palma de Mallorca ;400578
  07041-Petra ;2816
  07044-Pobla, Sa ;12694
  07042-Pollenca ;16115
  07043-Porreres ;5267
  07045-Puigpunyent ;2018
  07059-Salines, Ses ;5018
  07046-Sant Antoni de Portmany ;23631
  07049-Sant Joan ;2035
  07050-Sant Joan de Labritja ;5872
  07048-Sant Josep de sa Talaia ;25674
  07051-Sant Llorenc des Cardassar ;8146
  07052-Sant Lluis ;7521
  07053-Santa Eugenia ;1638
  07054-Santa Eularia des Riu ;35812
  07055-Santa Margalida ;11672
  07056-Santa Maria del Cami ;6685
  07057-Santanyi ;11316
  07058-Selva ;3890
  07047-Sencelles ;3082
  07060-Sineu ;3612
  07061-Soller ;13648
  07062-Son Servera ;11449
  07063-Valldemossa ;2005
  07065-Vilafranca de Bonany ;2913
  08001-Abrera ;12071
  08002-Aguilar de Segarra ;246
  08014-Aiguafreda ;2465
  08003-Alella ;9660
  08004-Alpens ;290
  08005-Ametlla del Valles, L' ;8303
  08006-Arenys de Mar ;15289
  08007-Arenys de Munt ;8736
  08008-Argencola ;223
  08009-Argentona ;11978
  08010-Artes ;5665
  08011-Avia ;2225
  08012-Avinyo ;2248
  08013-Avinyonet del Penedes ;1652
  08015-Badalona ;215654
  08904-Badia del Valles ;13502
  08016-Baga ;2188
  08017-Balenya ;3711
  08018-Balsareny ;3324
  08252-Barbera del Valles ;32545
  08019-Barcelona ;1604555
  08020-Begues ;6670
  08021-Bellprat ;74
  08022-Berga ;16238
  08023-Bigues i Riells ;8858
  08024-Borreda ;503
  08025-Bruc, El ;2032
  08026-Brull, El ;254
  08027-Cabanyes, Les ;967
  08028-Cabrera d'Anoia ;1348
  08029-Cabrera de Mar ;4522
  08030-Cabrils ;7250
  08031-Calaf ;3426
  08034-Calders ;968
  08033-Caldes de Montbui ;17098
  08032-Caldes d'Estrac ;2717
  08035-Calella ;18226
  08037-Calldetenes ;2427
  08038-Callus ;2024
  08036-Calonge de Segarra ;197
  08039-Campins ;491
  08040-Canet de Mar ;14177
  08041-Canovelles ;15906
  08042-Canoves i Samalus ;2897
  08043-Canyelles ;4375
  08044-Capellades ;5268
  08045-Capolat ;92
  08046-Cardedeu ;17938
  08047-Cardona ;4898
  08048-Carme ;792
  08049-Casserres ;1541
  08057-Castell de l'Areny ;73
  08052-Castellar de n'Hug ;159
  08050-Castellar del Riu ;175
  08051-Castellar del Valles ;23442
