"CodMun";"Municipio";"Pobloglog"
3035;"Benilloba ";1
3036;"Benillup ";1
3037;"Benimantell ";1
3038;"Benimarfull ";1
3039;"Benimassot ";1
3040;"Benimeli ";1
3041;"Benissa ";2
3042;"Benitachell/Poble Nou de Benitatxell, el ";2
3043;"Biar ";2
3044;"Bigastro ";2
3045;"Bolulla ";1
3046;"Busot ";2
3049;"Callosa de Segura ";2
3048;"Callosa d'en Sarria ";2
3047;"Calp ";2
3050;"Campello, el ";2
3051;"Campo de Mirra/Camp de Mirra, el ";1
3052;"Canada ";1
3053;"Castalla ";2
3054;"Castell de Castells ";1
3075;"Castell de Guadalest, el ";1
3055;"Catral ";2
3056;"Cocentaina ";2
3057;"Confrides ";1
3058;"Cox ";2
3059;"Crevillent ";2
3061;"Daya Nueva ";2
3062;"Daya Vieja ";1
3063;"Denia ";2
3064;"Dolores ";2
3065;"Elche/Elx ";2
3066;"Elda ";2
3067;"Facheca ";1
3068;"Famorca ";1
3069;"Finestrat ";2
3077;"Fondo de les Neus, el/Hondon de las Nieves ";2
3070;"Formentera del Segura ";2
3072;"Gaianes ";1
3071;"Gata de Gorgos ";2
3073;"Gorga ";1
3074;"Granja de Rocamora ";2
3076;"Guardamar del Segura ";2
3078;"Hondon de los Frailes ";1
3079;"Ibi ";2
3080;"Jacarilla ";2
3082;"Javea/Xabia ";2
3083;"Jijona/Xixona ";2
3085;"Lliber ";1
3084;"Lorcha/Orxa, l' ";1
3086;"Millena ";1
3088;"Monforte del Cid ";2
3089;"Monovar/Monover ";2
3903;"Montesinos, Los ";2
3091;"Murla ";1
3092;"Muro de Alcoy ";2
3090;"Mutxamel ";2
3093;"Novelda ";2
3094;"Nucia, la ";2
3095;"Ondara ";2
3096;"Onil ";2
3097;"Orba ";2
3099;"Orihuela ";2
3098;"Orxeta ";1
3100;"Parcent ";1
3101;"Pedreguer ";2
3102;"Pego ";2
3103;"Penaguila ";1
3104;"Petrer ";2
3902;"Pilar de la Horadada ";2
3105;"Pinos, el/Pinoso ";2
3106;"Planes ";1
3901;"Poblets, els ";2
3107;"Polop ";2
3060;"Quatretondeta ";1
3109;"Rafal ";2
3110;"Rafol d'Almunia, el ";1
3111;"Redovan ";2
3112;"Relleu ";1
3113;"Rojales ";2
3114;"Romana, la ";2
3115;"Sagra ";1
3116;"Salinas ";1
3118;"San Fulgencio ";2
3904;"San Isidro ";2
3120;"San Miguel de Salinas ";2
3122;"San Vicente del Raspeig/Sant Vicent del Raspeig ";2
3117;"Sanet y Negrals ";1
3119;"Sant Joan d'Alacant ";2
3121;"Santa Pola ";2
3123;"Sax ";2
3124;"Sella ";1
3125;"Senija ";1
3127;"Tarbena ";1
3128;"Teulada ";2
3129;"Tibi ";2
3130;"Tollos ";1
3131;"Tormos ";1
3132;"Torremanzanas/Torre de les Macanes, la ";1
3133;"Torrevieja ";2
3134;"Vall d'Alcala, la ";1
3136;"Vall de Gallinera ";1
3137;"Vall de Laguar, la ";1
3135;"Vall d'Ebo, la ";1
3138;"Verger, el ";2
3139;"Villajoyosa/Vila Joiosa, la ";2
3140;"Villena ";2
3081;"Xalo ";2
4001;"Abla ";1
4002;"Abrucena ";1
4003;"Adra ";2
4004;"Albanchez ";1
4005;"Alboloduy ";1
4006;"Albox ";2
4007;"Alcolea ";1
4008;"Alcontar ";1
4009;"Alcudia de Monteagud ";1
4010;"Alhabia ";1
4011;"Alhama de Almeria ";2
4012;"Alicun ";1
4013;"Almeria ";2
4014;"Almocita ";1
4015;"Alsodux ";1
4016;"Antas ";2
4017;"Arboleas ";2
4018;"Armuna de Almanzora ";1
4019;"Bacares ";1
4020;"Bayarcal ";1
4021;"Bayarque ";1
4022;"Bedar ";1
4023;"Beires ";1
4024;"Benahadux ";2
4026;"Benitagla ";1
4027;"Benizalon ";1
4028;"Bentarique ";1
4029;"Berja ";2
4030;"Canjayar ";1
4031;"Cantoria ";2
4032;"Carboneras ";2
4033;"Castro de Filabres ";1
4036;"Chercos ";1
4037;"Chirivel ";1
4034;"Cobdar ";1
4035;"Cuevas del Almanzora ";2
4038;"Dalias ";2
4902;"Ejido, El ";2
4041;"Enix ";1
4043;"Felix ";1
4044;"Fines ";2
4045;"Finana ";2
4046;"Fondon ";1
4047;"Gador ";2
4048;"Gallardos, Los ";2
4049;"Garrucha ";2
4050;"Gergal ";1
4051;"Huecija ";1
4052;"Huercal de Almeria ";2
4053;"Huercal-Overa ";2
4054;"Illar ";1
4055;"Instincion ";1
4056;"Laroya ";1
4057;"Laujar de Andarax ";1
4058;"Lijar ";1
4059;"Lubrin ";1
4060;"Lucainena de las Torres ";1
4061;"Lucar ";1
4062;"Macael ";2
4063;"Maria ";1
4064;"Mojacar ";2
4903;"Mojonera, La ";2
4065;"Nacimiento ";1
4066;"Nijar ";2
4067;"Ohanes ";1
4068;"Olula de Castro ";1
4069;"Olula del Rio ";2
4070;"Oria ";2
4071;"Padules ";1
4072;"Partaloa ";1
4073;"Paterna del Rio ";1
4074;"Pechina ";2
4075;"Pulpi ";2
4076;"Purchena ";2
4077;"Ragol ";1
4078;"Rioja ";1
4079;"Roquetas de Mar ";2
4080;"Santa Cruz de Marchena ";1
4081;"Santa Fe de Mondujar ";1
4082;"Senes ";1
4083;"Seron ";2
4084;"Sierro ";1
4085;"Somontin ";1
4086;"Sorbas ";2
4087;"Sufli ";1
4088;"Tabernas ";2
4089;"Taberno ";1
4090;"Tahal ";1
4091;"Terque ";1
4092;"Tijola ";2
4901;"Tres Villas, Las ";1
4093;"Turre ";2
4094;"Turrillas ";1
4095;"Uleila del Campo ";1
4096;"Urracal ";1
4097;"Velefique ";1
4098;"Velez-Blanco ";2
4099;"Velez-Rubio ";2
4100;"Vera ";2
4101;"Viator ";2
4102;"Vicar ";2
4103;"Zurgena ";2
5001;"Adanero ";1
5002;"Adrada, La ";2
5005;"Albornos ";1
5007;"Aldeanueva de Santa Cruz ";1
5008;"Aldeaseca ";1
5010;"Aldehuela, La ";1
5012;"Amavida ";1
5013;"Arenal, El ";1
5014;"Arenas de San Pedro ";2
5015;"Arevalillo ";1
5016;"Arevalo ";2
5017;"Aveinte ";1
5018;"Avellaneda ";1
5019;"avila ";2
5021;"Barco de avila, El ";2
5022;"Barraco, El ";2
5023;"Barroman ";1
5024;"Becedas ";1
5025;"Becedillas ";1
5026;"Bercial de Zapardiel ";1
5027;"Berlanas, Las ";1
5029;"Bernuy-Zapardiel ";1
5030;"Berrocalejo de Aragona ";1
5033;"Blascomillan ";1
5034;"Blasconuno de Matacabras ";0
5035;"Blascosancho ";1
5036;"Bohodon, El ";1
5037;"Bohoyo ";1
5038;"Bonilla de la Sierra ";1
5039;"Brabos ";1
5040;"Bularros ";1
5041;"Burgohondo ";1
5042;"Cabezas de Alambre ";1
5043;"Cabezas del Pozo ";1
5044;"Cabezas del Villar ";1
5045;"Cabizuela ";1
5046;"Canales ";1
5047;"Candeleda ";2
5048;"Cantiveros ";1
5049;"Cardenosa ";1
5051;"Carrera, La ";1
5052;"Casas del Puerto ";1
5053;"Casasola ";1
5054;"Casavieja ";1
5055;"Casillas ";1
5056;"Castellanos de Zapardiel ";1
5057;"Cebreros ";2
5058;"Cepeda la Mora ";1
5067;"Chamartin ";1
5059;"Cillan ";1
5060;"Cisla ";1
5061;"Colilla, La ";1
5062;"Collado de Contreras ";1
5063;"Collado del Miron ";1
5064;"Constanzana ";1
5065;"Crespos ";1
5066;"Cuevas del Valle ";1
5903;"Diego del Carpio ";1
5069;"Donjimeno ";1
5070;"Donvidas ";1
5072;"Espinosa de los Caballeros ";1
5073;"Flores de avila ";1
5074;"Fontiveros ";1
5075;"Fresnedilla ";1
5076;"Fresno, El ";1
5077;"Fuente el Sauz ";1
5078;"Fuentes de Ano ";1
5079;"Gallegos de Altamiros ";1
5080;"Gallegos de Sobrinos ";1
5081;"Garganta del Villar ";1
5082;"Gavilanes ";1
5083;"Gemuno ";1
5085;"Gil Garcia ";1
5084;"Gilbuena ";1
5086;"Gimialcon ";1
5087;"Gotarrendura ";1
5088;"Grandes y San Martin ";1
5089;"Guisando ";1
5090;"Gutierre-Munoz ";1
5092;"Hernansancho ";1
5093;"Herradon de Pinares ";1
5094;"Herreros de Suso ";1
5095;"Higuera de las Duenas ";1
5096;"Hija de Dios, La ";1
5097;"Horcajada, La ";1
5099;"Horcajo de las Torres ";1
5100;"Hornillo, El ";1
5102;"Hoyo de Pinares, El ";2
5101;"Hoyocasero ";1
5103;"Hoyorredondo ";1
5106;"Hoyos de Miguel Munoz ";1
5104;"Hoyos del Collado ";1
5105;"Hoyos del Espino ";1
5107;"Hurtumpascual ";1
5108;"Junciana ";1
5109;"Langa ";1
5110;"Lanzahita ";1
5113;"Llanos de Tormes, Los ";1
5112;"Losar del Barco, El ";1
5114;"Madrigal de las Altas Torres ";1
5115;"Maello ";1
5116;"Malpartida de Corneja ";1
5117;"Mamblas ";1
5118;"Mancera de Arriba ";1
5119;"Manjabalago y Ortigosa de Rioalmar ";1
5120;"Marlin ";1
5121;"Martiherrero ";1
5122;"Martinez ";1
5123;"Mediana de Voltoya ";1
5124;"Medinilla ";1
5125;"Mengamunoz ";1
5126;"Mesegar de Corneja ";1
5127;"Mijares ";1
5128;"Mingorria ";1
5129;"Miron, El ";1
5130;"Mironcillo ";1
5131;"Miruena de los Infanzones ";1
5132;"Mombeltran ";1
5133;"Monsalupe ";1
5134;"Moraleja de Matacabras ";1
5135;"Munana ";1
5136;"Munico ";1
5138;"Munogalindo ";1
5139;"Munogrande ";1
5140;"Munomer del Peco ";1
5141;"Munopepe ";1
5142;"Munosancho ";1
5143;"Munotello ";1
5144;"Narrillos del alamo ";1
5145;"Narrillos del Rebollar ";1
5149;"Narros de Salduena ";1
5147;"Narros del Castillo ";1
5148;"Narros del Puerto ";1
5152;"Nava de Arevalo ";1
5153;"Nava del Barco ";1
5151;"Navacepedilla de Corneja ";1
5154;"Navadijos ";1
5155;"Navaescurial ";1
5156;"Navahondilla ";1
5157;"Navalacruz ";1
5158;"Navalmoral ";1
5159;"Navalonguilla ";1
5160;"Navalosa ";1
5161;"Navalperal de Pinares ";1
5162;"Navalperal de Tormes ";1
5163;"Navaluenga ";2
5164;"Navaquesera ";1
5165;"Navarredonda de Gredos ";1
5166;"Navarredondilla ";1
5167;"Navarrevisca ";1
5168;"Navas del Marques, Las ";2
5169;"Navatalgordo ";1
5170;"Navatejares ";1
5171;"Neila de San Miguel ";1
5172;"Niharra ";1
5173;"Ojos-Albos ";1
5174;"Orbita ";1
5175;"Oso, El ";1
5176;"Padiernos ";1
5177;"Pajares de Adaja ";1
5178;"Palacios de Goda ";1
5179;"Papatrigo ";1
5180;"Parral, El ";1
5181;"Pascualcobo ";1
5182;"Pedro Bernardo ";1
5183;"Pedro-Rodriguez ";1
5184;"Peguerinos ";1
5185;"Penalba de avila ";1
5186;"Piedrahita ";2
5187;"Piedralaves ";2
5188;"Poveda ";1
5189;"Poyales del Hoyo ";1
5190;"Pozanco ";1
5191;"Pradosegar ";1
5192;"Puerto Castilla ";1
5193;"Rasueros ";1
5194;"Riocabado ";1
5195;"Riofrio ";1
5196;"Rivilla de Barajas ";1
5197;"Salobral ";1
5198;"Salvadios ";1
5199;"San Bartolome de Bejar ";1
5200;"San Bartolome de Corneja ";1
5201;"San Bartolome de Pinares ";1
5206;"San Esteban de los Patos ";1
5208;"San Esteban de Zapardiel ";1
5207;"San Esteban del Valle ";1
5209;"San Garcia de Ingelmos ";1
5901;"San Juan de Gredos ";1
5210;"San Juan de la Encinilla ";1
5211;"San Juan de la Nava ";1
5212;"San Juan del Molinillo ";1
5213;"San Juan del Olmo ";1
5214;"San Lorenzo de Tormes ";1
5215;"San Martin de la Vega del Alberche ";1
5216;"San Martin del Pimpollar ";1
5217;"San Miguel de Corneja ";1
5218;"San Miguel de Serrezuela ";1
5219;"San Pascual ";1
5220;"San Pedro del Arroyo ";1
5231;"San Vicente de Arevalo ";1
5204;"Sanchidrian ";1
5205;"Sanchorreja ";1
5222;"Santa Cruz de Pinares ";1
5221;"Santa Cruz del Valle ";1
5226;"Santa Maria de los Caballeros ";1
5224;"Santa Maria del Arroyo ";1
5225;"Santa Maria del Berrocal ";1
5902;"Santa Maria del Cubillo ";1
5227;"Santa Maria del Tietar ";1
5228;"Santiago del Collado ";1
5904;"Santiago del Tormes ";1
5229;"Santo Domingo de las Posadas ";1
5230;"Santo Tome de Zabarcos ";1
5232;"Serrada, La ";1
5233;"Serranillos ";1
5234;"Sigeres ";1
5235;"Sinlabajos ";1
5236;"Solana de avila ";1
5237;"Solana de Rioalmar ";1
5238;"Solosancho ";1
5239;"Sotalbo ";1
5240;"Sotillo de la Adrada ";2
5241;"Tiemblo, El ";2
5242;"Tinosillos ";1
5243;"Tolbanos ";1
5244;"Tormellas ";1
5245;"Tornadizos de avila ";1
5247;"Torre, La ";1
5246;"Tortoles ";1
5249;"Umbrias ";1
5251;"Vadillo de la Sierra ";1
5252;"Valdecasa ";1
5253;"Vega de Santa Maria ";1
5254;"Velayos ";1
5256;"Villaflor ";1
5257;"Villafranca de la Sierra ";1
5905;"Villanueva de avila ";1
5258;"Villanueva de Gomez ";1
5259;"Villanueva del Aceral ";1
5260;"Villanueva del Campillo ";1
5261;"Villar de Corneja ";1
5262;"Villarejo del Valle ";1
5263;"Villatoro ";1
5264;"Vinegra de Morana ";1
5265;"Vita ";1
5266;"Zapardiel de la Canada ";1
5267;"Zapardiel de la Ribera ";1
6001;"Acedera ";1
6002;"Aceuchal ";2
6003;"Ahillones ";1
6004;"Alange ";2
6005;"Albuera, La ";2
6006;"Alburquerque ";2
6007;"Alconchel ";2
6008;"Alconera ";1
6009;"Aljucen ";1
6010;"Almendral ";1
6011;"Almendralejo ";2
6012;"Arroyo de San Servan ";2
6013;"Atalaya ";1
6014;"Azuaga ";2
6015;"Badajoz ";2
6016;"Barcarrota ";2
6017;"Baterno ";1
6018;"Benquerencia de la Serena ";1
6019;"Berlanga ";2
6020;"Bienvenida ";2
6021;"Bodonal de la Sierra ";1
6022;"Burguillos del Cerro ";2
6023;"Cabeza del Buey ";2
6024;"Cabeza la Vaca ";1
6025;"Calamonte ";2
6026;"Calera de Leon ";1
6027;"Calzadilla de los Barros ";1
6028;"Campanario ";2
6029;"Campillo de Llerena ";1
6030;"Capilla ";1
6031;"Carmonita ";1
6032;"Carrascalejo, El ";1
6033;"Casas de Don Pedro ";1
6034;"Casas de Reina ";1
6035;"Castilblanco ";1
6036;"Castuera ";2
6042;"Cheles ";1
6037;"Codosera, La ";2
6038;"Cordobilla de Lacara ";1
6039;"Coronada, La ";2
6040;"Corte de Peleas ";1
6041;"Cristina ";1
6043;"Don alvaro ";1
6044;"Don Benito ";2
6045;"Entrin Bajo ";1
6046;"Esparragalejo ";1
6047;"Esparragosa de la Serena ";1
6048;"Esparragosa de Lares ";1
6049;"Feria ";1
6050;"Fregenal de la Sierra ";2
6051;"Fuenlabrada de los Montes ";2
6052;"Fuente de Cantos ";2
6053;"Fuente del Arco ";1
6054;"Fuente del Maestre ";2
6055;"Fuentes de Leon ";2
6056;"Garbayuela ";1
6057;"Garlitos ";1
6058;"Garrovilla, La ";2
6059;"Granja de Torrehermosa ";2
6903;"Guadiana del Caudillo ";2
6060;"Guarena ";2
6061;"Haba, La ";1
6062;"Helechosa de los Montes ";1
6063;"Herrera del Duque ";2
6064;"Higuera de la Serena ";1
6065;"Higuera de Llerena ";1
6066;"Higuera de Vargas ";2
6067;"Higuera la Real ";2
6068;"Hinojosa del Valle ";1
6069;"Hornachos ";2
6070;"Jerez de los Caballeros ";2
6071;"Lapa, La ";1
6073;"Llera ";1
6074;"Llerena ";2
6072;"Lobon ";2
6075;"Magacela ";1
6076;"Maguilla ";1
6077;"Malcocinado ";1
6078;"Malpartida de la Serena ";1
6079;"Manchita ";1
6080;"Medellin ";2
6081;"Medina de las Torres ";1
6082;"Mengabril ";1
6083;"Merida ";2
6084;"Mirandilla ";1
6085;"Monesterio ";2
6086;"Montemolin ";1
6087;"Monterrubio de la Serena ";2
6088;"Montijo ";2
6089;"Morera, La ";1
6090;"Nava de Santiago, La ";1
6091;"Navalvillar de Pela ";2
6092;"Nogales ";1
6093;"Oliva de la Frontera ";2
6094;"Oliva de Merida ";2
6095;"Olivenza ";2
6096;"Orellana de la Sierra ";1
6097;"Orellana la Vieja ";2
6098;"Palomas ";1
6099;"Parra, La ";1
6100;"Penalsordo ";1
6101;"Peraleda del Zaucejo ";1
6102;"Puebla de Alcocer ";1
6103;"Puebla de la Calzada ";2
6104;"Puebla de la Reina ";1
6107;"Puebla de Obando ";2
6108;"Puebla de Sancho Perez ";2
6105;"Puebla del Maestre ";1
6106;"Puebla del Prior ";1
6902;"Pueblonuevo del Guadiana ";2
6109;"Quintana de la Serena ";2
6110;"Reina ";1
6111;"Rena ";1
6112;"Retamal de Llerena ";1
6113;"Ribera del Fresno ";2
6114;"Risco ";1
6115;"Roca de la Sierra, La ";1
6116;"Salvaleon ";2
6117;"Salvatierra de los Barros ";2
6119;"San Pedro de Merida ";1
6123;"San Vicente de Alcantara ";2
6118;"Sancti-Spiritus ";1
6120;"Santa Amalia ";2
6121;"Santa Marta ";2
6122;"Santos de Maimona, Los ";2
6124;"Segura de Leon ";2
6125;"Siruela ";2
6126;"Solana de los Barros ";2
6127;"Talarrubias ";2
6128;"Talavera la Real ";2
6129;"Taliga ";1
6130;"Tamurejo ";1
6131;"Torre de Miguel Sesmero ";1
6132;"Torremayor ";1
6133;"Torremejia ";2
6134;"Trasierra ";1
6135;"Trujillanos ";1
6136;"Usagre ";2
6137;"Valdecaballeros ";1
6901;"Valdelacalzada ";2
6138;"Valdetorres ";1
6139;"Valencia de las Torres ";1
6140;"Valencia del Mombuey ";1
6141;"Valencia del Ventoso ";2
6146;"Valle de la Serena ";1
6147;"Valle de Matamoros ";1
6148;"Valle de Santa Ana ";1
6142;"Valverde de Burguillos ";1
6143;"Valverde de Leganes ";2
6144;"Valverde de Llerena ";1
6145;"Valverde de Merida ";1
6149;"Villafranca de los Barros ";2
6150;"Villagarcia de la Torre ";1
6151;"Villagonzalo ";1
6152;"Villalba de los Barros ";1
6153;"Villanueva de la Serena ";2
6154;"Villanueva del Fresno ";2
6156;"Villar de Rena ";1
6155;"Villar del Rey ";2
6157;"Villarta de los Montes ";1
6158;"Zafra ";2
6159;"Zahinos ";2
6160;"Zalamea de la Serena ";2
6162;"Zarza, La ";2
6161;"Zarza-Capilla ";1
7002;"Alaior ";2
7001;"Alaro ";2
7003;"Alcudia ";2
7004;"Algaida ";2
7005;"Andratx ";2
7901;"Ariany ";1
7006;"Arta ";2
7007;"Banyalbufar ";1
7008;"Binissalem ";2
7009;"Buger ";1
7010;"Bunyola ";2
7011;"Calvia ";2
7012;"Campanet ";2
7013;"Campos ";2
7014;"Capdepera ";2
7064;"Castell, Es ";2
7015;"Ciutadella de Menorca ";2
7016;"Consell ";2
7017;"Costitx ";1
7018;"Deia ";1
7026;"Eivissa ";2
7019;"Escorca ";1
7020;"Esporles ";2
7021;"Estellencs ";1
7022;"Felanitx ";2
7023;"Ferreries ";2
7024;"Formentera ";2
7025;"Fornalutx ";1
7027;"Inca ";2
7028;"Lloret de Vistalegre ";1
7029;"Lloseta ";2
7030;"Llubi ";2
7031;"Llucmajor ";2
7033;"Manacor ";2
7034;"Mancor de la Vall ";1
7032;"Mao-Mahon ";2
7035;"Maria de la Salut ";2
7036;"Marratxi ";2
7037;"Mercadal, Es ";2
7902;"Migjorn Gran, Es ";1
7038;"Montuiri ";2
7039;"Muro ";2
7040;"Palma de Mallorca ";2
7041;"Petra ";2
7044;"Pobla, Sa ";2
7042;"Pollenca ";2
7043;"Porreres ";2
7045;"Puigpunyent ";2
7059;"Salines, Ses ";2
7046;"Sant Antoni de Portmany ";2
7049;"Sant Joan ";2
7050;"Sant Joan de Labritja ";2
7048;"Sant Josep de sa Talaia ";2
7051;"Sant Llorenc des Cardassar ";2
7052;"Sant Lluis ";2
7053;"Santa Eugenia ";2
7054;"Santa Eularia des Riu ";2
7055;"Santa Margalida ";2
7056;"Santa Maria del Cami ";2
7057;"Santanyi ";2
7058;"Selva ";2
7047;"Sencelles ";2
7060;"Sineu ";2
7061;"Soller ";2
7062;"Son Servera ";2
7063;"Valldemossa ";2
7065;"Vilafranca de Bonany ";2
8001;"Abrera ";2
8002;"Aguilar de Segarra ";1
8014;"Aiguafreda ";2
8003;"Alella ";2
8004;"Alpens ";1
8005;"Ametlla del Valles, L' ";2
8006;"Arenys de Mar ";2
8007;"Arenys de Munt ";2
8008;"Argencola ";1
8009;"Argentona ";2
8010;"Artes ";2
8011;"Avia ";2
8012;"Avinyo ";2
8013;"Avinyonet del Penedes ";2
8015;"Badalona ";2
8904;"Badia del Valles ";2
8016;"Baga ";2
8017;"Balenya ";2
8018;"Balsareny ";2
8252;"Barbera del Valles ";2
8019;"Barcelona ";2
8020;"Begues ";2
8021;"Bellprat ";1
8022;"Berga ";2
8023;"Bigues i Riells ";2
8024;"Borreda ";1
8025;"Bruc, El ";2
8026;"Brull, El ";1
8027;"Cabanyes, Les ";1
8028;"Cabrera d'Anoia ";1
8029;"Cabrera de Mar ";2
8030;"Cabrils ";2
8031;"Calaf ";2
8034;"Calders ";1
8033;"Caldes de Montbui ";2
8032;"Caldes d'Estrac ";2
8035;"Calella ";2
8037;"Calldetenes ";2
8038;"Callus ";2
8036;"Calonge de Segarra ";1
8039;"Campins ";1
8040;"Canet de Mar ";2
8041;"Canovelles ";2
8042;"Canoves i Samalus ";2
8043;"Canyelles ";2
8044;"Capellades ";2
8045;"Capolat ";1
8046;"Cardedeu ";2
8047;"Cardona ";2
8048;"Carme ";1
8049;"Casserres ";1
8057;"Castell de l'Areny ";1
8052;"Castellar de n'Hug ";1
8050;"Castellar del Riu ";1
8051;"Castellar del Valles ";2
8053;"Castellbell i el Vilar ";2
8054;"Castellbisbal ";2
8055;"Castellcir ";1
8056;"Castelldefels ";2
8058;"Castellet i la Gornal ";2
8060;"Castellfollit de Riubregos ";1
8059;"Castellfollit del Boix ";1
8061;"Castellgali ";2
8062;"Castellnou de Bages ";1
8063;"Castelloli ";1
8064;"Castelltercol ";2
8065;"Castellvi de la Marca ";1
8066;"Castellvi de Rosanes ";2
8067;"Centelles ";2
8268;"Cercs ";1
8266;"Cerdanyola del Valles ";2
8068;"Cervello ";2
8069;"Collbato ";2
8070;"Collsuspina ";1
8071;"Copons ";1
8072;"Corbera de Llobregat ";2
8073;"Cornella de Llobregat ";2
8074;"Cubelles ";2
8075;"Dosrius ";2
8076;"Esparreguera ";2
8077;"Esplugues de Llobregat ";2
8078;"Espunyola, L' ";1
